"filename","title","feature"
"./metadata.md","",""
"./help/marketo/TOC.md","",""
"help/marketo/home.md","Marketo Product Docs",""
"help/marketo/getting-started.md","Getting Started",""
"help/marketo/getting-started/what-is-adobe-marketo-engage.md","What is Adobe Marketo Engage?",""
"help/marketo/getting-started/help-center.md","Help Center",""
"help/marketo/getting-started/marketo-glossary.md","Marketo Glossary",""
"help/marketo/getting-started/classic-icon-glossary.md","Classic Icon Glossary",""
"help/marketo/getting-started/setup/setup-steps.md","Setup Steps",""
"help/marketo/getting-started/setup/setup-checklist.md","Setup Checklist",""
"help/marketo/getting-started/setup/configure-protocols-for-marketo.md","Configure Protocols for Marketo",""
"help/marketo/getting-started/quick-wins/get-set-up-and-add-a-person.md","Get Set up and Add a Person",""
"help/marketo/getting-started/quick-wins/send-an-email.md","Send an Email",""
"help/marketo/getting-started/quick-wins/landing-page-with-a-form.md","Landing Page with a Form",""
"help/marketo/getting-started/quick-wins/simple-scoring.md","Simple Scoring",""
"help/marketo/getting-started/quick-wins/email-auto-response.md","Email Auto-Response",""
"help/marketo/getting-started/quick-wins/import-a-list-of-people.md","Import a List of People",""
"help/marketo/getting-started/quick-wins/drip-drip-nurture.md","Drip, Drip, Nurture",""
"help/marketo/getting-started/quick-wins/personalize-an-email.md","Personalize an Email",""
"help/marketo/getting-started/quick-wins/alert-the-sales-rep.md","Alert the Sales Rep",""
"help/marketo/getting-started/quick-wins/update-person-data.md","Update Person Data",""
"help/marketo/getting-started/quick-wins/redirect-a-landing-page.md","Redirect a Landing Page",""
"help/marketo/getting-started/quick-wins/advanced-solutions/automate-an-alert-for-possible-duplicate-people.md","Automate an Alert for Possible Duplicate People",""
"help/marketo/getting-started/inheriting-a-marketo-instance/help-ive-inherited-an-existing-marketo-instance.md","Help I've Inherited an Existing Marketo Instance",""
"help/marketo/getting-started/inheriting-a-marketo-instance/items-to-check-off.md","Items to Check Off",""
"help/marketo/getting-started/inheriting-a-marketo-instance/things-to-review-core-skills.md","Things to Review - Core Skills",""
"help/marketo/getting-started/inheriting-a-marketo-instance/ways-to-get-help.md","Ways to Get Help",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/understanding-search-engine-optimization.md","Understanding Search Engine Optimization",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/understanding-the-seo-dashboard-seo-recommendations.md","Understanding the SEO Dashboard -SEO Recommendations",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/understanding-the-seo-dashboard-seo-snapshot.md","Understanding the SEO Dashboard -SEO Snapshot",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/seo-add-a-site-delete-a-site.md","SEO - Add a Site/Delete a Site",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/seo-add-competitors.md","SEO - Add Competitors",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/seo-managing-lists.md","SEO - Managing Lists",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/seo-pick-region-country-for-your-search-engine.md","SEO - Pick Region/Country for Your Search Engine",""
"help/marketo/product-docs/additional-apps/seo/understanding-seo/seo-set-your-email-alert-preferences.md","SEO - Set Your Email Alert Preferences",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-add-keywords.md","SEO - Add Keywords",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-add-remove-columns-from-your-keywords-view.md","SEO - Add/Remove Columns From Your Keywords View",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-add-remove-keywords-from-a-list.md","SEO - Add/Remove Keywords from a List",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-exporting-keyword-results.md","SEO - Exporting Keyword Results",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-filter-keyword-results.md","SEO - Filter Keyword Results",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-get-suggested-keywords.md","SEO - Get Suggested Keywords",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-importing-keywords-with-a-csv.md","SEO - Importing Keywords with a CSV",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-keyword-trends-chart.md","SEO - Keyword Trends Chart",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-optimize-specific-pages-with-targeted-keywords.md","SEO - Optimize Specific Pages with Targeted Keywords",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-remove-a-keyword.md","SEO - Remove a Keyword",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-understanding-keywords.md","SEO - Understanding Keywords",""
"help/marketo/product-docs/additional-apps/seo/keywords/seo-view-keyword-results-in-search-engine.md","SEO - View Keyword Results in Search Engine",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-add-notes-to-page-issues.md","SEO - Add Notes to Page Issues",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-add-pages.md","SEO - Add Pages",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-add-remove-page-from-list.md","SEO - Add/Remove Page from List",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-add-remove-page-issue-from-a-list.md","SEO - Add/Remove Page Issue From a List",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-export-issues-to-csv.md","SEO - Export Issues to CSV",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-remove-delete-a-page-issue.md","SEO - Remove/Delete a Page Issue",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-remove-delete-a-page.md","SEO - Remove/Delete a Page",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-understanding-pages.md","SEO - Understanding Pages",""
"help/marketo/product-docs/additional-apps/seo/pages/seo-using-the-page-detail-drill-down.md","SEO - Using the Page Detail Drill Down",""
"help/marketo/product-docs/additional-apps/seo/inbound-links/seo-add-an-inbound-link-url-manually.md","SEO - Add an Inbound Link URL Manually",""
